strain	date	clade_membership
DENV4/INDONESIA/MKS06/2007	2007-12-11	DENV4/II
DENV4/NEW_CALEDONIA/200409/2008	2008-02-20	DENV4/II
DENV4/PUERTO_RICO/BIDV2442/1998	1998-01-01	DENV4/II
DENV4/VENEZUELA/BIDV2173/1999	1999-12-31	DENV4/II
DENV4/SPAIN/BIDV3407/2001	2001-12-31	DENV4/II
DENV4/BRAZIL/SJRP580/2012	2012-12-10	DENV4/II
DENV4/VENEZUELA/BIDV2499/2007	2007-12-31	DENV4/II
DENV4/VENEZUELA/BIDV2489/2007	2007-10-17	DENV4/II
DENV4/VENEZUELA/BIDV1158/2007	2007-01-01	DENV4/II
