strain	date	clade_membership
DENV3/FRENCH_POLYNESIA/2986/1992	1992-01-01	DENV3/I
DENV3/MALAYSIA/27834/2003	2003-01-01	DENV3/I
DENV3/INDONESIA/MKS0057/2007	2007-06-22	DENV3/I
DENV3/THAILAND/44/1983	1983-07-31	DENV3/II
DENV3/THAILAND/PYTHIUM/2014	2014-08-28	DENV3/II
DENV3/MALAYSIA/2471/1995	1995-01-01	DENV3/II
DENV3/SINGAPORE/8120/1995	1995-12-31	DENV3/II
DENV3/THAILAND/BIDV2323/2001	2001-01-01	DENV3/II
DENV3/MALAYSIA/25811/2002	2002-12-31	DENV3/II
DENV3/CAMBODIA/BIDV2091/2007	2007-12-08	DENV3/II
DENV3/CAMBODIA/BIDV2081/2003	2003-04-14	DENV3/II
DENV3/PUERTO_RICO/BIDV1080/2006	2006-01-01	DENV3/III
DENV3/PUERTO_RICO/BIDV1050/1998	1998-12-31	DENV3/III
DENV3/PUERTO_RICO/BIDV1615/2004	2004-12-31	DENV3/III
DENV3/PUERTO_RICO/BIDV1081/2006	2006-01-01	DENV3/III
DENV3/SPAIN/BIDV3395/2003	2003-01-01	DENV3/III
DENV3/VENEZUELA/BIDV2201/2001	2001-12-31	DENV3/III
DENV3/TRINIDAD_AND_TOBAGO/BIDV2982/2002	2002-12-31	DENV3/III
DENV3/BRAZIL/BIDV3601/2007	2007-01-01	DENV3/III
DENV3/BRAZIL/BIDV3451/2006	2006-12-31	DENV3/III
DENV3/PERU/BIDV7041/2004	2004-10-08	DENV3/III
DENV3/NICARAGUA/BIDV3074/2008	2008-03-07	DENV3/III
DENV3/NICARAGUA/BIDV5474/2010	2010-12-31	DENV3/III
DENV3/NICARAGUA/BIDV4838/2009	2009-06-03	DENV3/III
DENV3/NICARAGUA/BIDV4836/2009	2009-05-26	DENV3/III
DENV3/NICARAGUA/BIDV5456/2009	2009-01-24	DENV3/III
