strain	date	clade_membership
DENV1/THAILAND/16007/1964	1964-12-31	DENV1/II
DENV1/VENEZUELA/61068/2006	2006-01-01	DENV1/V
DENV1/NICARAGUA/BIDV622/2005	2005-08-14	DENV1/V
DENV1/MEXICO/BIDV7580/2007	2007-01-01	DENV1/V
DENV1/NICARAGUA/BIDV641/2005	2005-12-31	DENV1/V
DENV1/NICARAGUA/BIDV621/2005	2005-12-31	DENV1/V
DENV1/MEXICO/BIDV3726/2007	2007-12-24	DENV1/V
DENV1/SINGAPORE/K4138DK1/2005	2005-08-16	DENV1/I
DENV1/INDONESIA/MKS0077/2007	2007-07-24	DENV1/I
DENV1/INDONESIA/MKSIF039/2008	2008-03-15	DENV1/I
DENV1/VIETNAM/BIDV817/2006	2006-11-15 (2006-01-01 - 2006-12-31)	DENV1/I
DENV1/VIETNAM/BIDV2693/2006	2006-01-01 (2006-01-01 - 2006-08-11)	DENV1/I
DENV1/VIETNAM/BIDV4052/2008	2008-12-31 (2008-07-27 - 2008-12-31)	DENV1/I
DENV1/CAMBODIA/BIDV3775/2006	2006-12-31 (2006-03-04 - 2006-12-31)	DENV1/I
DENV1/VIETNAM/BIDV4063/2008	2008-03-16 (2008-01-01 - 2008-12-31)	DENV1/I
DENV1/VIETNAM/BIDV2811/2007	2007-12-31 (2007-03-04 - 2007-12-31)	DENV1/I
